,Actual,SARIMA_Forecast,Day,NumVehicles,sarima_diff,Prophet_forecast
0,121717,117373.18309369816,2005-10-20,121717,4343.816906301843,115706.55124513054
1,127012,124665.68847489422,2005-10-21,127012,2346.311525105775,122161.72430680555
2,103776,104897.83381939298,2005-10-22,103776,-1121.8338193929812,105975.30646421436
3,89657,92807.82798464468,2005-10-23,89657,-3150.827984644682,93548.9215693128
4,113247,110110.94297678838,2005-10-24,113247,3136.057023211615,109270.72552820241
5,116713,112691.66142719118,2005-10-25,116713,4021.338572808818,112253.64132569378
6,121010,115223.72989038187,2005-10-26,121010,5786.270109618126,116322.40488791527
7,123814,117123.85890915396,2005-10-27,123814,6690.141090846038,117457.82348006482
8,132332,124204.22239780678,2005-10-28,132332,8127.777602193222,124445.23507175015
9,112413,104917.52596901107,2005-10-29,112413,7495.474030988931,108731.77787286822
10,97626,92349.48778619623,2005-10-30,97626,5276.51221380377,96703.24537233837
11,116393,109539.11882222432,2005-10-31,116393,6853.881177775678,112733.51999985418
12,117629,112228.14170780122,2005-11-01,117629,5400.858292198784,115923.21196361167
13,117854,115283.50849667529,2005-11-02,117854,2570.491503324709,120087.0626545924
14,122053,116991.59736858803,2005-11-03,122053,5061.402631411969,121198.50437745226
15,126866,124019.92821036254,2005-11-04,126866,2846.0717896374554,128038.35634620044
16,107386,104851.10968681081,2005-11-05,107386,2534.8903131891857,112052.25933113693
17,98226,92165.9383229834,2005-11-06,98226,6060.061677016594,99627.6193445033
18,113398,109327.7618357109,2005-11-07,113398,4070.2381642890978,115143.05054862668
19,113682,112043.32118484071,2005-11-08,113682,1638.6788151592918,117706.94310461407
20,116443,115226.90720979746,2005-11-09,116443,1216.0927902025433,121144.716641487
21,119386,116887.94206139077,2005-11-10,119386,2498.0579386092286,121443.15449592116
22,126650,123903.52376951445,2005-11-11,126650,2746.476230485554,127398.80406490745
23,104646,104763.58787109061,2005-11-12,104646,-117.58787109061086,110475.0529352686
24,94424,92049.71635048017,2005-11-13,94424,2374.283649519828,97078.66013817507
25,112165,109204.72641990284,2005-11-14,112165,2960.273580097157,111608.7431187494
26,114296,111926.78777480799,2005-11-15,114296,2369.212225192008,113194.8577159102
27,114690,115141.7902778976,2005-11-16,114690,-451.79027789759857,115683.74426977185
